wn,acac,ozone,h2o
710.3989613,1.03842E-05,2.80914E-06,-2.37E-08
710.5194905,1.00272E-05,2.83192E-06,-2.29E-08
710.6400197,9.65694E-06,2.88985E-06,-2.20E-08
710.7605488,9.35863E-06,3.00505E-06,-2.13E-08
710.881078,9.20792E-06,3.18593E-06,-2.10E-08
711.0016072,9.25009E-06,3.42477E-06,-2.11E-08
711.1221364,9.4929E-06,3.70543E-06,-2.16E-08
711.2426655,9.90132E-06,4.00647E-06,-2.26E-08
711.3631947,1.04187E-05,4.30754E-06,-2.38E-08
711.4837239,1.09677E-05,4.58563E-06,-2.50E-08
711.6042531,1.14833E-05,4.81816E-06,-2.62E-08
711.7247822,1.19115E-05,4.98234E-06,-2.72E-08
711.8453114,1.22134E-05,5.05182E-06,-2.78E-08
711.9658406,1.23679E-05,5.01199E-06,-2.82E-08
712.0863698,1.23652E-05,4.86064E-06,-2.82E-08
712.2068989,1.22041E-05,4.61306E-06,-2.78E-08
712.3274281,1.19E-05,4.30156E-06,-2.71E-08
712.4479573,1.14802E-05,3.96311E-06,-2.62E-08
712.5684865,1.09907E-05,3.63488E-06,-2.51E-08
712.6890156,1.04894E-05,3.34007E-06,-2.39E-08
712.8095448,1.00399E-05,3.08797E-06,-2.29E-08
712.930074,9.7078E-06,2.87835E-06,-2.21E-08
713.0506032,9.53228E-06,2.71384E-06,-2.17E-08
713.1711324,9.53228E-06,2.60131E-06,-2.17E-08
713.2916615,9.69477E-06,2.55753E-06,-2.21E-08
713.4121907,9.97979E-06,2.60529E-06,-2.28E-08
713.5327199,1.03303E-05,2.75784E-06,-2.36E-08
713.6532491,1.06814E-05,3.01323E-06,-2.44E-08
713.7737782,1.09807E-05,3.34582E-06,-2.50E-08
713.8943074,1.11911E-05,3.71229E-06,-2.55E-08
714.0148366,1.13043E-05,4.05801E-06,-2.58E-08
714.1353658,1.13397E-05,4.33873E-06,-2.59E-08
714.2558949,1.13397E-05,4.52191E-06,-2.59E-08
714.3764241,1.13608E-05,4.59558E-06,-2.59E-08
714.4969533,1.14529E-05,4.56394E-06,-2.61E-08
714.6174825,1.16484E-05,4.44138E-06,-2.66E-08
714.7380116,1.19447E-05,4.24449E-06,-2.72E-08
714.8585408,1.23056E-05,3.99253E-06,-2.81E-08
714.97907,1.26671E-05,3.71074E-06,-2.89E-08
715.0995992,1.29545E-05,3.43561E-06,-2.95E-08
715.2201283,1.31119E-05,3.2096E-06,-2.99E-08
715.3406575,1.31097E-05,3.08355E-06,-2.99E-08
715.4611867,1.29654E-05,3.09306E-06,-2.96E-08
715.5817159,1.2722E-05,3.25161E-06,-2.90E-08
715.702245,1.24508E-05,3.53513E-06,-2.84E-08
715.8227742,1.22088E-05,3.89344E-06,-2.78E-08
715.9433034,1.2035E-05,4.25643E-06,-2.74E-08
716.0638326,1.194E-05,4.55819E-06,-2.72E-08
716.1843617,1.19133E-05,4.75776E-06,-2.72E-08
716.3048909,1.19403E-05,4.84737E-06,-2.72E-08
716.4254201,1.20192E-05,4.8487E-06,-2.74E-08
716.5459493,1.2169E-05,4.79537E-06,-2.77E-08
716.6664784,1.24244E-05,4.71439E-06,-2.83E-08
716.7870076,1.28164E-05,4.6104E-06,-2.92E-08
716.9075368,1.33509E-05,4.46638E-06,-3.04E-08
717.028066,1.39891E-05,4.25068E-06,-3.19E-08
717.1485951,1.46482E-05,3.9421E-06,-3.34E-08
717.2691243,1.52162E-05,3.54796E-06,-3.47E-08
717.3896535,1.55773E-05,3.1134E-06,-3.55E-08
717.5101827,1.56478E-05,2.71606E-06,-3.57E-08
717.6307118,1.54037E-05,2.43284E-06,-3.51E-08
717.751241,1.48833E-05,2.33269E-06,-3.39E-08
717.8717702,1.41831E-05,2.44036E-06,-3.23E-08
717.9922994,1.3426E-05,2.73419E-06,-3.06E-08
718.1128286,1.27366E-05,3.15099E-06,-2.90E-08
718.2333577,1.22115E-05,3.60679E-06,-2.78E-08
718.3538869,1.18954E-05,4.02505E-06,-2.71E-08
718.4744161,1.17886E-05,4.3489E-06,-2.69E-08
718.5949453,1.18507E-05,4.55576E-06,-2.70E-08
718.7154744,1.20294E-05,4.65311E-06,-2.74E-08
718.8360036,1.22631E-05,4.66572E-06,-2.80E-08
718.9565328,1.25091E-05,4.61925E-06,-2.85E-08
719.077062,1.27456E-05,4.53297E-06,-2.91E-08
719.1975911,1.29744E-05,4.41085E-06,-2.96E-08
719.3181203,1.32152E-05,4.2509E-06,-3.01E-08
719.4386495,1.35039E-05,4.04562E-06,-3.08E-08
719.5591787,1.3872E-05,3.79434E-06,-3.16E-08
719.6797078,1.43449E-05,3.50682E-06,-3.27E-08
719.800237,1.4923E-05,3.20208E-06,-3.40E-08
719.9207662,1.55755E-05,2.90975E-06,-3.55E-08
720.0412954,1.62411E-05,2.65901E-06,-3.70E-08
720.1618245,1.68316E-05,2.47772E-06,-3.84E-08
720.2823537,1.72479E-05,2.38332E-06,-3.93E-08
720.4028829,1.74092E-05,2.37514E-06,-3.97E-08
720.5234121,1.72703E-05,2.43837E-06,-3.94E-08
720.6439412,1.68409E-05,2.53631E-06,-3.84E-08
720.7644704,1.61805E-05,2.62607E-06,-3.69E-08
720.8849996,1.53869E-05,2.66167E-06,-3.51E-08
721.0055288,1.45737E-05,2.6033E-06,-3.32E-08
721.1260579,1.38382E-05,2.43616E-06,-3.16E-08
721.2465871,1.32506E-05,2.16623E-06,-3.02E-08
721.3671163,1.28403E-05,1.82737E-06,-2.93E-08
721.4876455,1.25973E-05,1.46954E-06,-2.87E-08
721.6081746,1.24837E-05,1.1555E-06,-2.85E-08
721.7287038,1.24452E-05,9.38508E-07,-2.84E-08
721.849233,1.24322E-05,8.56752E-07,-2.83E-08
721.9697622,1.24049E-05,9.21052E-07,-2.83E-08
722.0902913,1.23422E-05,1.11529E-06,-2.81E-08
722.2108205,1.22438E-05,1.40964E-06,-2.79E-08
722.3313497,1.21284E-05,1.75774E-06,-2.77E-08
722.4518789,1.20278E-05,2.11583E-06,-2.74E-08
722.5724081,1.19788E-05,2.44898E-06,-2.73E-08
722.6929372,1.20151E-05,2.73242E-06,-2.74E-08
722.8134664,1.21563E-05,2.95485E-06,-2.77E-08
722.9339956,1.23977E-05,3.11827E-06,-2.83E-08
723.0545248,1.27059E-05,3.23171E-06,-2.90E-08
723.1750539,1.30274E-05,3.31176E-06,-2.97E-08
723.2955831,1.32978E-05,3.37169E-06,-3.03E-08
723.4161123,1.34589E-05,3.42079E-06,-3.07E-08
723.5366415,1.34856E-05,3.4617E-06,-3.07E-08
723.6571706,1.33912E-05,3.48758E-06,-3.05E-08
723.7776998,1.32314E-05,3.48404E-06,-3.02E-08
723.898229,1.30839E-05,3.43782E-06,-2.98E-08
724.0187582,1.3033E-05,3.34184E-06,-2.97E-08
724.1392873,1.31404E-05,3.20606E-06,-3.00E-08
